Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
D:\Udacity\Robotics\Term1\IMG\robocam_2018_11_14_07_04_19_747.jpg;0;0;1;0;99.66999;85.58897;0.0002359733;56.82556;-1.987288E-07
D:\Udacity\Robotics\Term1\IMG\robocam_2018_11_14_07_04_20_081.jpg;0;0;0;0;99.66999;85.58897;0.0002358296;56.82556;-4.642238E-07
D:\Udacity\Robotics\Term1\IMG\robocam_2018_11_14_07_04_20_143.jpg;0;0;0;0;99.66999;85.58897;0.0002358296;56.82556;-4.642238E-07
D:\Udacity\Robotics\Term1\IMG\robocam_2018_11_14_07_04_20_213.jpg;0;0;0;0;99.66999;85.58897;0.0002357992;56.82556;-3.619445E-07
D:\Udacity\Robotics\Term1\IMG\robocam_2018_11_14_07_04_20_279.jpg;0;0;0;0;99.66999;85.58897;0.0002358449;56.82556;-5.153635E-07
D:\Udacity\Robotics\Term1\IMG\robocam_2018_11_14_07_04_20_346.jpg;0;0;0;0;99.66999;85.58897;0.0002358144;56.82556;-4.130841E-07
D:\Udacity\Robotics\Term1\IMG\robocam_2018_11_14_07_04_20_414.jpg;0;0;0;0;99.66999;85.58897;0.0002359624;56.82556;-5.360382E-07
D:\Udacity\Robotics\Term1\IMG\robocam_2018_11_14_07_04_20_480.jpg;0;0;0;0;99.66999;85.58897;0.000235871;56.82556;-2.291937E-07
D:\Udacity\Robotics\Term1\IMG\robocam_2018_11_14_07_04_20_546.jpg;0;0;0;0;99.66999;85.58897;0.0002360451;56.82556;-6.598455E-08
D:\Udacity\Robotics\Term1\IMG\robocam_2018_11_14_07_04_20_615.jpg;0;0;0;0;99.66999;85.58897;0.0002362497;56.82556;-5.048177E-09
D:\Udacity\Robotics\Term1\IMG\robocam_2018_11_14_07_04_20_680.jpg;0;0;0;0;99.66999;85.58897;0.0002361583;56.82556;3.017898E-07
D:\Udacity\Robotics\Term1\IMG\robocam_2018_11_14_07_04_20_746.jpg;0;0;0;0;99.66999;85.58897;0.0002362192;56.82556;9.723114E-08
D:\Udacity\Robotics\Term1\IMG\robocam_2018_11_14_07_04_20_814.jpg;0;0;0;0;99.66999;85.58897;0.0002361735;56.82556;2.506501E-07
D:\Udacity\Robotics\Term1\IMG\robocam_2018_11_14_07_04_20_879.jpg;0;0;0;0;99.66999;85.58897;0.0002362192;56.82556;9.723114E-08
D:\Udacity\Robotics\Term1\IMG\robocam_2018_11_14_07_04_20_947.jpg;0;0;0;0;99.66999;85.58897;0.000236204;56.82556;1.483708E-07
D:\Udacity\Robotics\Term1\IMG\robocam_2018_11_14_07_04_21_014.jpg;0;0;0;0;99.66999;85.58897;0.000236204;56.82556;1.483708E-07
D:\Udacity\Robotics\Term1\IMG\robocam_2018_11_14_07_04_21_080.jpg;0;0;0;0;99.66999;85.58897;0.000236204;56.82556;1.483708E-07
D:\Udacity\Robotics\Term1\IMG\robocam_2018_11_14_07_04_21_146.jpg;0;0;0;0;99.66999;85.58897;0.0002361887;56.82556;1.995105E-07
D:\Udacity\Robotics\Term1\IMG\robocam_2018_11_14_07_04_21_214.jpg;0;0;0;0;99.66999;85.58897;0.0002362344;56.82556;4.609148E-08
D:\Udacity\Robotics\Term1\IMG\robocam_2018_11_14_07_04_21_279.jpg;0;0;0;0;99.66999;85.58897;0.0002361887;56.82556;1.995105E-07
D:\Udacity\Robotics\Term1\IMG\robocam_2018_11_14_07_04_21_347.jpg;0;0;0;0;99.66999;85.58897;0.0002362192;56.82556;9.723114E-08
D:\Udacity\Robotics\Term1\IMG\robocam_2018_11_14_07_04_21_414.jpg;0;0;0;0;99.66999;85.58897;0.0002361735;56.82556;2.506501E-07
D:\Udacity\Robotics\Term1\IMG\robocam_2018_11_14_07_04_21_479.jpg;0;0;0;0;99.66999;85.58897;0.0002361169;56.82556;6.676621E-08
D:\Udacity\Robotics\Term1\IMG\robocam_2018_11_14_07_04_21_547.jpg;0;0;0;0;99.66999;85.58897;0.0002360908;56.82556;-2.194035E-07
D:\Udacity\Robotics\Term1\IMG\robocam_2018_11_14_07_04_21_614.jpg;0;0;0;0;99.66999;85.58897;0.0002358862;56.82556;-2.803334E-07
D:\Udacity\Robotics\Term1\IMG\robocam_2018_11_14_07_04_21_680.jpg;0;0;0;0;99.66999;85.58897;0.0002359319;56.82556;-4.337589E-07
D:\Udacity\Robotics\Term1\IMG\robocam_2018_11_14_07_04_21_747.jpg;0;0;0;0;99.66999;85.58897;0.000235871;56.82556;-2.291937E-07
D:\Udacity\Robotics\Term1\IMG\robocam_2018_11_14_07_04_21_813.jpg;0;0;0;0;99.66999;85.58897;0.0002359167;56.82556;-3.826192E-07
D:\Udacity\Robotics\Term1\IMG\robocam_2018_11_14_07_04_21_879.jpg;0;0;0;0;99.66999;85.58897;0.000235871;56.82556;-2.291937E-07
D:\Udacity\Robotics\Term1\IMG\robocam_2018_11_14_07_04_21_947.jpg;0;0;0;0;99.66999;85.58897;0.0002359015;56.82556;-3.314796E-07
D:\Udacity\Robotics\Term1\IMG\robocam_2018_11_14_07_04_22_014.jpg;0;0;0;0;99.66999;85.58897;0.0002359015;56.82556;-3.314796E-07
D:\Udacity\Robotics\Term1\IMG\robocam_2018_11_14_07_04_22_078.jpg;0;0;0;0;99.66999;85.58897;0.0002359015;56.82556;-3.314796E-07
D:\Udacity\Robotics\Term1\IMG\robocam_2018_11_14_07_04_22_146.jpg;0;0;0;0;99.66999;85.58897;0.0002359015;56.82556;-3.314796E-07
